OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Occupied Housing Units,Owner Households,Renter Households,Gross Rent as a Percentage of Household Income Less than 15.0%,Gross Rent as a Percentage of Household Income 15.0 to 19.9%,Gross Rent as a Percentage of Household Income 20.0 to 24.9%,Gross Rent as a Percentage of Household Income 25.0 to 29.9%,Gross Rent as a Percentage of Household Income 30.0 to 34.9%,Gross Rent as a Percentage of Household Income 35.0% or more,Gross Rent 30% or more of Household Income,Gross Rent as a Percentage of Household Income Not Computed,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Selected Monthly Owner Costs as a Percentage of Household Income Less than 20.0%,Selected Monthly Owner Costs as a Percentage of Household Income 20.0 to 24.9%,Selected Monthly Owner Costs as a Percentage of Household Income 25.0 to 29.9%,Selected Monthly Owner Costs as a Percentage of Household Income 30.0 to 34.9%,Selected Monthly Owner Costs as a Percentage of Household Income 35.0% or more,Monthly Costs 30% or more of Household Income (owners with a mortgage),Housing units with a mortgage where selected monthly onwer costs a s a percentage of household income not computed,Renter housing units with gross rent,Gross Rent Less Than $500,Gross Rent $500-$999,"Gross Rent $1,000-$1,499","Gross Rent $1,500-$1,999","Gross Rent $2,000-$2,499","Gross Rent $2,500-$2,999","Gross Rent $3,000-$3,499","Gross Rent $3,500 or more",No cash rent,Owner housing units with a mortgage,"Owner Costs Less Than $1,000","Owner Costs $1,000-$1,499","Owner Costs $1,500-$1,999","Owner Costs $2,000-$2,499","Owner Costs $2,500-$2,999","Owner Costs $3,000-$3,499","Owner Costs $3,500-$3,999","Owner Costs $4,000 or more",Owner housing units without a mortgage,Neighborhood Type (outside comp plan areas id)
21,3.5,Beacon Hill,CRA,Greater Duwamish,5Y23,3009,2181,828,89,91,226,60,81,132,213,149,1393,571,201,210,48,363,411,0,679,28,34,61,191,124,144,74,23,149,1393,3,42,324,142,190,246,118,328,788,CRA
22,3.6,North Beacon Hill/Jefferson Park,CRA,Greater Duwamish,5Y23,7191,3341,3850,412,398,397,504,481,1465,1946,193,2170,1005,379,243,151,392,543,0,3713,322,221,843,1026,581,343,184,193,137,2170,40,94,83,289,344,547,321,452,1171,CRA
23,4.1,Rainier Beach,CRA,Southeast,5Y23,5837,3747,2090,186,252,282,151,136,944,1080,139,2683,936,453,311,181,802,983,0,2018,149,251,466,457,332,179,103,81,72,2683,40,30,336,828,456,325,319,349,1064,CRA
24,4.2,Columbia City,CRA,Southeast,5Y23,8928,4236,4692,587,661,397,492,548,1830,2378,177,3318,1703,424,289,336,566,902,0,4591,480,439,781,957,672,624,304,334,101,3318,0,109,492,442,483,546,580,666,918,CRA
25,4.3,Seward Park,CRA,Southeast,5Y23,4017,2861,1156,127,92,224,181,133,378,511,21,2084,862,336,223,207,456,663,0,1135,0,79,286,351,66,169,72,112,21,2084,23,37,139,187,215,433,344,706,777,CRA
26,4.4,Mt. Baker/North Rainier,CRA,Southeast,5Y23,3114,1737,1377,197,151,189,202,130,508,638,0,1037,594,31,92,97,200,297,23,1377,137,99,292,203,263,112,101,170,0,1037,40,15,20,93,131,129,79,530,700,CRA
27,5.1,Madrona/Leschi,CRA,Central,5Y23,5010,3490,1520,172,141,247,201,151,528,679,80,2608,1220,321,249,111,707,818,0,1505,212,65,176,197,438,121,105,191,15,2608,227,70,86,270,285,219,179,1272,882,CRA
28,5.2,Judkins Park,CRA,Central,5Y23,2337,508,1829,213,255,199,184,181,682,863,115,271,113,44,48,25,41,66,0,1761,243,228,260,139,370,286,113,122,68,271,0,0,18,68,37,37,73,38,237,CRA
29,5.3,Central Area/Squire Park,CRA,Central,5Y23,10600,4483,6117,675,1051,1042,704,327,2204,2531,114,3230,1740,359,287,174,655,829,15,6065,635,167,743,1508,1300,661,373,678,52,3230,75,12,169,311,443,552,536,1132,1253,CRA
30,6.1,First Hill,CRA,East,5Y23,10409,1453,8956,1758,1051,1040,1019,839,3009,3848,240,847,560,174,96,0,17,17,0,8741,517,353,1621,1965,1679,1167,730,709,215,847,0,42,70,81,117,250,154,133,606,CRA
31,6.2,Capitol Hill,CRA,East,5Y23,19740,2455,17285,2923,2514,2484,1304,1503,5800,7303,757,1850,812,315,121,57,534,591,11,16775,507,599,2782,5354,3636,2356,730,811,510,1850,0,60,404,303,271,247,217,348,605,CRA
32,6.3,North Capitol Hill,CRA,East,5Y23,2759,1147,1612,490,201,202,151,90,478,568,0,814,315,171,89,28,211,239,0,1612,34,38,284,572,309,146,106,123,0,814,0,0,16,47,87,53,174,437,333,CRA
33,6.4,Miller Park,CRA,East,5Y23,3794,2119,1675,280,319,255,203,144,442,586,32,1376,721,234,199,98,124,222,0,1675,101,61,198,497,441,291,41,45,0,1376,13,0,27,181,221,188,115,631,743,CRA
34,6.5,Madison Park,CRA,East,5Y23,2641,1458,1183,194,196,153,144,89,301,390,106,883,556,37,19,0,271,271,0,1077,0,0,0,290,352,147,95,193,106,883,0,0,0,17,25,74,15,752,575,CRA
35,7.1,Montlake/Portage Bay,CRA,Northeast,5Y23,4877,3048,1829,223,298,253,305,251,393,644,106,1926,1025,309,206,60,326,386,0,1802,9,98,174,604,391,322,89,115,27,1926,20,74,66,89,190,166,97,1224,1122,CRA
36,7.2,University District,CRA,Northeast,5Y23,6737,1011,5726,490,428,358,372,277,3329,3606,472,570,403,59,18,0,90,90,0,5644,81,577,1516,1568,1170,265,217,250,82,570,0,0,99,47,68,55,31,270,441,CRA
37,7.3,Ravenna/Bryant,CRA,Northeast,5Y23,10754,5938,4816,652,486,461,675,223,2046,2269,273,4115,2201,469,363,270,791,1061,21,4665,119,134,1013,1095,806,561,403,534,151,4115,59,102,160,380,524,649,389,1852,1823,CRA
38,7.4,Wedgwood/View Ridge,CRA,Northeast,5Y23,6978,4885,2093,191,439,203,372,70,708,778,110,3178,1779,484,294,146,475,621,0,1983,0,0,381,523,281,201,189,408,110,3178,0,87,153,255,377,623,425,1258,1707,CRA
39,7.5,Laurelhurst/Sand Point,CRA,Northeast,5Y23,4452,3303,1149,140,142,207,87,93,432,525,48,2206,1048,347,268,156,387,543,0,1121,54,62,183,232,300,92,28,170,28,2206,8,8,112,161,210,90,88,1529,1097,CRA
40,8.1,Northgate/Maple Leaf,CRA,North,5Y23,7832,3163,4669,628,467,682,336,419,1938,2357,199,2152,996,361,234,165,389,554,7,4575,158,259,624,1589,997,451,273,224,94,2152,7,65,128,430,398,257,314,553,1011,CRA
